timestamp,lap,vehicle_id,steering_angle,accx_can,accy_can,ath,gear,nmot,pbrake_f,pbrake_r,speed
2025-03-27T11:10:36.881Z,5,GR86-038-093,5.5,0.408,0.12,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:36.925Z,5,GR86-038-093,6.4,0.423,0.143,99.75,4.0,6613.0,0.0,0.0,168.23
2025-03-27T11:10:36.969Z,5,GR86-038-093,9.7,0.432,0.184,99.79,4.0,,0.0,0.0,
2025-03-27T11:10:37.013Z,5,GR86-038-093,11.7,0.442,0.224,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:37.058Z,5,GR86-038-093,12.8,0.42,0.247,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:37.102Z,5,GR86-038-093,13.2,0.407,0.286,99.77,4.0,,0.0,0.0,
2025-03-27T11:10:37.147Z,5,GR86-038-093,13.2,0.429,0.33,99.78,4.0,6648.0,0.0,0.0,169.45000000000002
2025-03-27T11:10:37.192Z,5,GR86-038-093,13.8,0.428,0.351,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:37.238Z,5,GR86-038-093,14.9,0.417,0.375,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:37.281Z,5,GR86-038-093,16.6,0.419,0.395,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:37.325Z,5,GR86-038-093,19.3,0.416,0.436,99.8,4.0,,0.0,0.0,
2025-03-27T11:10:37.369Z,5,GR86-038-093,24.200000000000003,0.423,0.529,99.78,4.0,6709.0,0.0,0.0,170.61
2025-03-27T11:10:37.413Z,5,GR86-038-093,27.0,0.393,0.5720000000000001,99.77,4.0,,0.0,0.0,
2025-03-27T11:10:37.458Z,5,GR86-038-093,28.5,0.384,0.638,99.77,4.0,,0.0,0.0,
2025-03-27T11:10:37.502Z,5,GR86-038-093,28.5,0.396,0.7010000000000001,99.77,4.0,,0.0,0.0,
2025-03-27T11:10:37.548Z,5,GR86-038-093,26.8,0.385,0.773,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:37.592Z,5,GR86-038-093,26.5,0.378,0.811,99.78,4.0,6757.0,0.0,0.0,171.65
2025-03-27T11:10:37.638Z,5,GR86-038-093,26.5,0.395,0.845,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:37.681Z,5,GR86-038-093,27.1,0.404,0.887,99.79,4.0,,0.0,0.0,
2025-03-27T11:10:37.725Z,5,GR86-038-093,28.1,0.388,0.914,99.77,4.0,,0.0,0.0,
2025-03-27T11:10:37.769Z,5,GR86-038-093,29.1,0.402,0.91,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:37.813Z,5,GR86-038-093,29.3,0.392,0.89,99.78,4.0,6834.0,0.0,0.0,173.65
2025-03-27T11:10:37.859Z,5,GR86-038-093,29.1,0.391,0.901,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:37.902Z,5,GR86-038-093,28.9,0.379,0.914,99.79,4.0,,0.0,0.0,
2025-03-27T11:10:37.948Z,5,GR86-038-093,28.9,0.444,0.944,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:37.992Z,5,GR86-038-093,29.0,0.438,0.949,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:38.038Z,5,GR86-038-093,29.5,0.443,0.935,99.78,4.0,6872.0,0.0,0.0,174.49
2025-03-27T11:10:38.081Z,5,GR86-038-093,30.0,0.431,0.95,99.79,4.0,,0.0,0.0,
2025-03-27T11:10:38.125Z,5,GR86-038-093,30.0,0.429,0.915,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:38.213Z,5,GR86-038-093,28.9,0.373,0.933,99.77,4.0,,0.0,0.0,
2025-03-27T11:10:38.258Z,5,GR86-038-093,28.5,0.393,0.966,99.79,4.0,6910.0,0.0,0.0,175.35
2025-03-27T11:10:38.302Z,5,GR86-038-093,29.1,0.381,0.931,99.78,4.0,,0.0,0.0,
2025-03-27T11:10:38.347Z,5,GR86-038-093,30.1,0.396,0.894,99.8,4.0,,0.0,0.0,
2025-03-27T11:10:38.392Z,5,GR86-038-093,30.1,0.373,0.913,99.79,4.0,,0.0,0.0,
2025-03-27T11:10:38.438Z,5,GR86-038-093,30.5,0.367,0.936,99.77,4.0,,0.0,0.0,
2025-03-27T11:10:38.481Z,5,GR86-038-093,30.8,0.373,0.959,99.78,4.0,6943.0,0.0,0.0,176.20000000000002
2025-03-27T11:10:38.525Z,5,GR86-038-093,30.8,0.394,0.981,99.79,4.0,,0.0,0.0,
2025-03-27T11:10:38.569Z,5,GR86-038-093,30.8,0.458,1.036,99.79,4.0,,0.0,0.0,
2025-03-27T11:10:38.613Z,5,GR86-038-093,30.8,0.454,1.067,99.78,4.0,,0.0,0.0,
